nama_caleg,pasangan
"LEONAS CHATIM, STL., MMS",Andi Walenreng
"KARISA RAHMAPUTRI, S.Sn, M.Sc",-
MOCH. CHARLY VANHOUTTEN,REGINA IRAWAN
LILIS SOLIHAH,DIKA NOVANTRIA
"YENI VERONIKA, SH","DR. DENO KAMELUS, SH., MH"
"KRISTIANUS BENEDIKTUS SUCIPTO ABURMAN, S.P",YULIANINGSIH H. D. TAGUNG
"YOHANES JINUS, SH",MARGARETA ENEK ROTOK
JIMUR SIENA KATRINA,LAURENS BAHANG DAMA (ALM)
"ZAFRAN HIDAYAT, S.Pd",-
SELFRIDUS YUDI PRANOTO DAMBUR,-
"OLIVA EA, S.Sos",-
YUNTINUS TEGU NGGADE,-
"FREDRIKUS FRITZ FIANDI, SH","MARCELINA ANY TRY GAR, S.Pd"
"ABDUL ASIS, M.Pd.I",HJ. ENDANG SRI RAHAYU
ANTONIUS BELANTARA,BERNADETA GUET
DRS. MARUS PETRUS,ADILA THERESIA NTELOK
EMILIA KASIH,-
"FRANSISIKA THERESIA DAMBU, S.Pi",-
ELAFITA AOETPAH,-
ROBERTUS MINSEN,ARNIYANTI HUNGA MEHA
STEFANUS GANDI,ANIZA RACHMAN
PONDERINTJE O.M. NARAKAHA,0
IR. YUKUNDA HUWA,DRS KAROBEID MARSIANUS M.PD
"PATA VNSENSIUS, SH, MM",DOLFINA LUJU
ALEXIUS MARIANUS ADU,HELMINA SAUN
DRS. FRANSISKUS ATAP,MAGDALENA LET
Dra.. KRISTOFORA B BANTANG,KOTAN Y STEFANUS
REWOS EDDY F. X. EDUARDUS,THERESIA SURYATINI
"YOSEPH FREDY WIJAYA, S.Sos.",-
DARMAYANTI,M. ARRYANTHO
"FRUMENTIUS BAMBUT, S.E.",IMELDA FLORIDA NIMA
"YOSEP SUDARSO, A.Md",KORNELIA SITI
BONIFASIUS JEBARUS,-
PASKALIS JURMAN ANGKUR,Maria Yasinta Lehot
"KABUR AGUSTINUS, SH",Paus Maria Matilda
"WILIBRODUS KENGKENG, SH",Margareta Samun
"NURKHOLIS, se",-
"ANGELA MERSI RENGGI, S.Si",-
YOHANES HALUT,-
"DANIEL DJEHAMU, S.PD",PAULA MBAUT
"YOSEF PANGKUR, SH",ERMILINDIS HASIMAN PANGKUR
PINGGU PIUS,ELISABETH JUS GERAK
"YOHANA BETRISKAL NDANG, S.Pd",-
YEANE AGNES GAMPU,BAKTI HINDARTO PUTRA
"MAXIMILIANUS ADIPATI PARI, SH",YASINTA SUSIANTY SUSILO
"RUDOLFUS PASKALIS DAGA TANGA, ST",LIA OKTAVIA
"PAULINA JENIA, A.MD",MARSELINUS ASMAT
"FRANSISKUS SARONG, SM",YUSTINA LEMA
"RIZET BENYAMIN RAFAEL, SH",SOFIA ADELINA VERA MOOY
KOLEKTA JELIUT,DRS. PIUS TENGKO
"YAKIM NANDI, S.SOS",KARMELIA THERESIA GAMBUS
"DRS. MARTINUS DARMONSI DOGON, M.SI",M. B. DEWI PANCAWATI
"MELTIANA SAIN, S.PD",-
DRS. HIRONIMUS SYAMLAN,EMILIA ANGGAL
"LUISA REDEMPTA YOSHELINE LANA, SH",-
"DRS.. STANISLAUS NGAWANG, MM",REGINA JEMITA
"SENSI VINSENSIUS SEBASTIANUS, SE",MARIA MUR OGOS
"KANISIUS BERKAMAS, SE, MBA",MARIA HELIANA NARTI
"BERNARDUS PAIS NASUR, S.M",MARIA KENAU
"VERDERIKA DINNA HERNINO PAIS, S.PD",FERIANTO BANI
DRS.. YOSEF MANGGAS,ELISABET NAMU
"IR. BEN ISI DORUS, MM","VENIDORU SAU, SH"
FEBRIYANI YERLIN KABUT,-
"BENEDIKTUS S.T. PAPUR, S.FIL",HARYATI ETA YUTSELISE FRANSISKA
"RUSDING, S.E.",MARIANA C. WULANDARI
"DRS. TAMUR PAULUS, M.SI",YUSTINA
ERLIYATI,ABIDIN M. INCE
"SAKAR ABDUL JANGKU, M.S.I.",SUKRIA
"EDELTRUDIS DAONG, S.Pd.",-
"YUSUF M. TAHIR, SH",Hj. HASNAH
"HASNAH ISMAIL, A.Md",H. YUSUF
IBRAHIM KARIM,MARIFA ILIM
RUSTAM RAIHANI KELILAUW,YENI M VIANI WAJONG
"YOHANES RUMAT, SE",Dra NUR NINGSIH
Drs.. TOBIAS WANUS,MAKTILDA MURHADYA
MATILDIS DIN,ANSELMUS ABIN
"FRANSISKO ANDRIANI DJAGA DJEMALU, S.Sos",BERNADETA ROSALIA DEMBO
LASARUS KASMUL,MARIA JUMARYANI MINDJO
"YUSTA ROLI RAMAT, S.Sos",-
"MELKHIOR JUDIWAN, SH. M.H",HELENA ENA
"ANTONIUS TAJI, S.Sos",YULIANA FERONIKA NUHAN
"SULISTYASTUTI SUTOMO, S.Pd, M.Hum",ROBERTUS STUTANUR
KAROLUS HAMBUR,FLORIDA D. DROSS
"INOSENSIUS FREDY MUI, ST",Maria M. Rosty Halim
"Drs. FREDIRIQUES PLATE YOSEP, M.Si",Dra. Elisabeth Tina Ngasu
MARIA MARTINA HADYANY DARUNG,K. Y. Toni Rumondor
ALOISIUS GAMBUT,Mety Meldiani Mengngi
"JEFRI SAN, SS, M.Si",Flora Nesti Alvidan
"THERESIA DELTA, A.Md","Agustinus Goeng, SH"
Ir. FRANSISKUS HERMANUS HAPAN,dr. Monika Tanoni
"AVENTINUS JESMAN, SH",Rosalia Surya Bahagia
JUNAIDIN,RAHIMAH ZAINAL
"Drs.. HERMANUS MAN, MM",ABIGAEL SAMPE TODING
YESTI KANDIDA ODOT,-
AGUSTINAH,WAHONO
ADRIANUS KORNASEN,SD
EMILIANUS CARLES LALUNG,MARIA THERESIA RATTINI
SERI ANISA,ISHAK
Drs. JOHANES MAT NGARE,MARTHINA HA U
Drs. AGUSTINUS HARAPAN,"S. JOVITA MAHU, SH"
NURAINI JETIA,SIRTA SIREGAR
ONGGE YOHANES,ROFINA DINA
SEBASTIANUS NUSI,ERIKE JOCHE MARTA HUNGAN
MARIA HEWOL,SILVESTER KADER
JAHUR DONATUS,"HASAN E NIRWANA, SH, M.Si"
"WALTERIUS JEMAAN, SH.,M.HUM","KORNELIA SILUS, SE"
NDUJUNG ELISABETH NURANI,Drs. JENUDIN STEFANUS
"KATAS PETRUS, S.Sos, M.MA",VERONIKA RENEK
"AHMAD YOHAN, M.Si",Nikmah Azizah
"RONSIANUS B. DAUR, SE.,BKP",Margaretha Ni Luh
YEYEN YUNIZAR AMBUWARU,KARIYANTO WAHYUDI
DRS. CHRISTIAN ROTOK,HENDRIKA WIA
AZIZATUL MILLAH,NASIWAN
"Dr. STEPHANUS PELOR, SH, MH",0
MARIE AVELIN KONTERIUS,OKTOBERTUS ARNOLDUS FESTALEN
"Dr. CHRISTOFEL BAGAISAR, S.Pd., SS., M.Pd.",HERLINA SIPAHUTAR
YOHANES JIMMY SILIMALAR,MARIA ROSARI
ANITA JEANNETTE PAATH,JOEL STEVE O TICOALU
"ARJULI, AR",PRASETIO HUTOMO SURYA
DRA. IIS YENI SURYANI,NURSUHANDI
Dr. ANDREAS HUGO PAREIRA,Chatarina V. Dwi Indarwati P
"VALENS DAKI-SOO, S.H.",dr. M.M. ALEXANDRA DJUANG
"M. JASHINTA E. HAMBOER., S.Ikom., M.Ikom",Andreas Widyatmanto
Drs. FRANS LEBU RAYA,LUSIA ADINDA DUA NURAK
"ANNA MARLINDA M.B., S.Sos",LUKAS Y. M. P. BOLENG
"MAKARIUS PASKALIS BAUT, S.H.",MARIA SERVIANA DIAN
"PIUS LUSTRILANANG, S.IP., M.Si",IBU
BOPHIA D. CH. MAROMON,BENYAMIN MOSOES MANDALA
WILLFRIDUS YONS EBIT,-
YOHANNA FRANCISCA SARJUMIYATI,AYAH
"SIPRIANUS PAULUS, S.Fil",IBU
"YOHANES EDISON BURU, S.Pd",DIANA PUSPITASARI
MELCHIAS MARKUS MEKENG,MARIA LAURENTIA WIDYANA SOEHADI
HONING SANNY,BERNADETHA MARIA SERE N ABA
ADEODATA TRIDECIMA,DAIRI UJUNG
"H. ANWAR PUA GENO, S.H","ROFIKA ARSYAD, SE"
IRENE RATNA KARTIKA SAPTI,-
"SEBASTIANUS KM SALANG, S.H., M.M",VONNY M OCHOTAN
"AGUS ISMAIL, S.Si, M.Eng",Nur Aini
HERMIN SUSANA,AGUS WIBISONO
"H. FACHRUDIN MUHAMAD, SH, MH",YULIA INRAYATI
"HEKSANING RIBUT RAWIT, S.Pd",SYARIF
"N. M. DIPO NUSANTARA P. U, SH",AFIFAH AFIYANI
SYAHRULAN PUA SAWA,lisa wahyuni
FLORIDA YOSEFINA NDENA,-
"ALI ANTONIUS, SH.,MH",Apolonia Osi Jemat
HENDRA YUSUF,Melly Foek
"DRS ALEXANDER ENA, M.SI",Gedreda
NURUL ALMY HAFILD,Ir. Hendra P.w Dharsono
"ABDUL GAFUR, SE",Nursiana Daeng Gafur
HASNAH,TIDAK DICANTUMKAN
"ZAINUL ISLAM, S.Si, M.Farm",Desi Novita
"ENI SRI WAHYUNI, SH.",M.Irfan
NUR FAIZAH,fathor rosi
ROBERT SOTER MARUT,EUPHEMIA SOEMENI
"FREDERICUS AH, A.Md",CARLA YOHANINGTYAS
"MARIA JEANS NULIARTI, SH",-
"RAYNOLDY OKTORA, SH",-
"ROBERTHUS BAIT KEYTIMU, S.H",ELFRIDA YOLLY MAINA DEWI WINOKAN
ARYANI RIZKI POERWASARI WARUT,NN
"SELESTINUS A. OLA, SH",Herni Dwi Yanti
"NENE KARIM KALAKE, SH",Arina Ulfah
SITI AMINAH,-
"KISLON OBISURU, S.Sos",AGNES NONA
"NENCY E. NAPITU, A.Keb",Jenner Sondang Manaritar Lumban Batu
"FRANSISKUS SIGIT A. MADO, SP","Dr. Mariana Harsono, S.Pd, M.Ed."
"YENI VERONIKA, SH","DR. DENO KAMELUS, SH., MH"
"KRISTIANUS BENEDIKTUS SUCIPTO ABURMAN, S.P",YULIANINGSIH H. D. TAGUNG
"YOHANES JINUS, SH",MARGARETA ENEK ROTOK
JIMUR SIENA KATRINA,LAURENS BAHANG DAMA (ALM)
"ZAFRAN HIDAYAT, S.Pd",-
SELFRIDUS YUDI PRANOTO DAMBUR,-
"OLIVA EA, S.Sos",-
YUNTINUS TEGU NGGADE,-
"FREDRIKUS FRITZ FIANDI, SH","MARCELINA ANY TRY GAR, S.Pd"
"ABDUL ASIS, M.Pd.I",HJ. ENDANG SRI RAHAYU
ANTONIUS BELANTARA,BERNADETA GUET
DRS. MARUS PETRUS,ADILA THERESIA NTELOK
EMILIA KASIH,-
"FRANSISIKA THERESIA DAMBU, S.Pi",-
ELAFITA AOETPAH,-
ROBERTUS MINSEN,ARNIYANTI HUNGA MEHA
STEFANUS GANDI,ANIZA RACHMAN
PONDERINTJE O.M. NARAKAHA,0
IR. YUKUNDA HUWA,DRS KAROBEID MARSIANUS M.PD
"PATA VNSENSIUS, SH, MM",DOLFINA LUJU
ALEXIUS MARIANUS ADU,HELMINA SAUN
DRS. FRANSISKUS ATAP,MAGDALENA LET
Dra.. KRISTOFORA B BANTANG,KOTAN Y STEFANUS
REWOS EDDY F. X. EDUARDUS,THERESIA SURYATINI
"YOSEPH FREDY WIJAYA, S.Sos.",-
DARMAYANTI,M. ARRYANTHO
"FRUMENTIUS BAMBUT, S.E.",IMELDA FLORIDA NIMA
"YOSEP SUDARSO, A.Md",KORNELIA SITI
BONIFASIUS JEBARUS,-
PASKALIS JURMAN ANGKUR,Maria Yasinta Lehot
"KABUR AGUSTINUS, SH",Paus Maria Matilda
"WILIBRODUS KENGKENG, SH",Margareta Samun
"NURKHOLIS, se",-
"ANGELA MERSI RENGGI, S.Si",-
YOHANES HALUT,-
"DANIEL DJEHAMU, S.PD",PAULA MBAUT
"YOSEF PANGKUR, SH",ERMILINDIS HASIMAN PANGKUR
PINGGU PIUS,ELISABETH JUS GERAK
"YOHANA BETRISKAL NDANG, S.Pd",-
YEANE AGNES GAMPU,BAKTI HINDARTO PUTRA
"MAXIMILIANUS ADIPATI PARI, SH",YASINTA SUSIANTY SUSILO
"RUDOLFUS PASKALIS DAGA TANGA, ST",LIA OKTAVIA
"PAULINA JENIA, A.MD",MARSELINUS ASMAT
"FRANSISKUS SARONG, SM",YUSTINA LEMA
"RIZET BENYAMIN RAFAEL, SH",SOFIA ADELINA VERA MOOY
KOLEKTA JELIUT,DRS. PIUS TENGKO
"YAKIM NANDI, S.SOS",KARMELIA THERESIA GAMBUS
"DRS. MARTINUS DARMONSI DOGON, M.SI",M. B. DEWI PANCAWATI
"MELTIANA SAIN, S.PD",-
DRS. HIRONIMUS SYAMLAN,EMILIA ANGGAL
"LUISA REDEMPTA YOSHELINE LANA, SH",-
"DRS.. STANISLAUS NGAWANG, MM",REGINA JEMITA
"SENSI VINSENSIUS SEBASTIANUS, SE",MARIA MUR OGOS
"KANISIUS BERKAMAS, SE, MBA",MARIA HELIANA NARTI
"BERNARDUS PAIS NASUR, S.M",MARIA KENAU
"VERDERIKA DINNA HERNINO PAIS, S.PD",FERIANTO BANI
DRS.. YOSEF MANGGAS,ELISABET NAMU
"IR. BEN ISI DORUS, MM","VENIDORU SAU, SH"
FEBRIYANI YERLIN KABUT,-
"BENEDIKTUS S.T. PAPUR, S.FIL",HARYATI ETA YUTSELISE FRANSISKA
"RUSDING, S.E.",MARIANA C. WULANDARI
"DRS. TAMUR PAULUS, M.SI",YUSTINA
ERLIYATI,ABIDIN M. INCE
"SAKAR ABDUL JANGKU, M.S.I.",SUKRIA
"EDELTRUDIS DAONG, S.Pd.",-
"YUSUF M. TAHIR, SH",Hj. HASNAH
"HASNAH ISMAIL, A.Md",H. YUSUF
IBRAHIM KARIM,MARIFA ILIM
RUSTAM RAIHANI KELILAUW,YENI M VIANI WAJONG
"YOHANES RUMAT, SE",Dra NUR NINGSIH
Drs.. TOBIAS WANUS,MAKTILDA MURHADYA
MATILDIS DIN,ANSELMUS ABIN
"FRANSISKO ANDRIANI DJAGA DJEMALU, S.Sos",BERNADETA ROSALIA DEMBO
LASARUS KASMUL,MARIA JUMARYANI MINDJO
"YUSTA ROLI RAMAT, S.Sos",-
"MELKHIOR JUDIWAN, SH. M.H",HELENA ENA
"ANTONIUS TAJI, S.Sos",YULIANA FERONIKA NUHAN
"SULISTYASTUTI SUTOMO, S.Pd, M.Hum",ROBERTUS STUTANUR
KAROLUS HAMBUR,FLORIDA D. DROSS
"INOSENSIUS FREDY MUI, ST",Maria M. Rosty Halim
"Drs. FREDIRIQUES PLATE YOSEP, M.Si",Dra. Elisabeth Tina Ngasu
MARIA MARTINA HADYANY DARUNG,K. Y. Toni Rumondor
ALOISIUS GAMBUT,Mety Meldiani Mengngi
"JEFRI SAN, SS, M.Si",Flora Nesti Alvidan
"THERESIA DELTA, A.Md","Agustinus Goeng, SH"
Ir. FRANSISKUS HERMANUS HAPAN,dr. Monika Tanoni
"AVENTINUS JESMAN, SH",Rosalia Surya Bahagia
JUNAIDIN,RAHIMAH ZAINAL
"Drs.. HERMANUS MAN, MM",ABIGAEL SAMPE TODING
YESTI KANDIDA ODOT,-
AGUSTINAH,WAHONO
ADRIANUS KORNASEN,SD
EMILIANUS CARLES LALUNG,MARIA THERESIA RATTINI
SERI ANISA,ISHAK
Drs. JOHANES MAT NGARE,MARTHINA HA U
Drs. AGUSTINUS HARAPAN,"S. JOVITA MAHU, SH"
NURAINI JETIA,SIRTA SIREGAR
ONGGE YOHANES,ROFINA DINA
SEBASTIANUS NUSI,ERIKE JOCHE MARTA HUNGAN
MARIA HEWOL,SILVESTER KADER
JAHUR DONATUS,"HASAN E NIRWANA, SH, M.Si"
"WALTERIUS JEMAAN, SH.,M.HUM","KORNELIA SILUS, SE"
NDUJUNG ELISABETH NURANI,Drs. JENUDIN STEFANUS
"KATAS PETRUS, S.Sos, M.MA",VERONIKA RENEK
"AHMAD YOHAN, M.Si",Nikmah Azizah
"RONSIANUS B. DAUR, SE.,BKP",Margaretha Ni Luh
YEYEN YUNIZAR AMBUWARU,KARIYANTO WAHYUDI
DRS. CHRISTIAN ROTOK,HENDRIKA WIA
AZIZATUL MILLAH,NASIWAN
"Dr. STEPHANUS PELOR, SH, MH",0
MARIE AVELIN KONTERIUS,OKTOBERTUS ARNOLDUS FESTALEN
"Dr. CHRISTOFEL BAGAISAR, S.Pd., SS., M.Pd.",HERLINA SIPAHUTAR
YOHANES JIMMY SILIMALAR,MARIA ROSARI
ANITA JEANNETTE PAATH,JOEL STEVE O TICOALU
"ARJULI, AR",PRASETIO HUTOMO SURYA
DRA. IIS YENI SURYANI,NURSUHANDI
Dr. ANDREAS HUGO PAREIRA,Chatarina V. Dwi Indarwati P
"VALENS DAKI-SOO, S.H.",dr. M.M. ALEXANDRA DJUANG
"M. JASHINTA E. HAMBOER., S.Ikom., M.Ikom",Andreas Widyatmanto
Drs. FRANS LEBU RAYA,LUSIA ADINDA DUA NURAK
"ANNA MARLINDA M.B., S.Sos",LUKAS Y. M. P. BOLENG
"MAKARIUS PASKALIS BAUT, S.H.",MARIA SERVIANA DIAN
"PIUS LUSTRILANANG, S.IP., M.Si",IBU
BOPHIA D. CH. MAROMON,BENYAMIN MOSOES MANDALA
WILLFRIDUS YONS EBIT,-
YOHANNA FRANCISCA SARJUMIYATI,AYAH
"SIPRIANUS PAULUS, S.Fil",IBU
"YOHANES EDISON BURU, S.Pd",DIANA PUSPITASARI
MELCHIAS MARKUS MEKENG,MARIA LAURENTIA WIDYANA SOEHADI
HONING SANNY,BERNADETHA MARIA SERE N ABA
ADEODATA TRIDECIMA,DAIRI UJUNG
"H. ANWAR PUA GENO, S.H","ROFIKA ARSYAD, SE"
IRENE RATNA KARTIKA SAPTI,-
"SEBASTIANUS KM SALANG, S.H., M.M",VONNY M OCHOTAN
"AGUS ISMAIL, S.Si, M.Eng",Nur Aini
HERMIN SUSANA,AGUS WIBISONO
"H. FACHRUDIN MUHAMAD, SH, MH",YULIA INRAYATI
"HEKSANING RIBUT RAWIT, S.Pd",SYARIF
"N. M. DIPO NUSANTARA P. U, SH",AFIFAH AFIYANI
SYAHRULAN PUA SAWA,lisa wahyuni
FLORIDA YOSEFINA NDENA,-
"ALI ANTONIUS, SH.,MH",Apolonia Osi Jemat
HENDRA YUSUF,Melly Foek
"DRS ALEXANDER ENA, M.SI",Gedreda
NURUL ALMY HAFILD,Ir. Hendra P.w Dharsono
"ABDUL GAFUR, SE",Nursiana Daeng Gafur
HASNAH,TIDAK DICANTUMKAN
"ZAINUL ISLAM, S.Si, M.Farm",Desi Novita
"ENI SRI WAHYUNI, SH.",M.Irfan
NUR FAIZAH,fathor rosi
ROBERT SOTER MARUT,EUPHEMIA SOEMENI
"FREDERICUS AH, A.Md",CARLA YOHANINGTYAS
"MARIA JEANS NULIARTI, SH",-
"RAYNOLDY OKTORA, SH",-
"ROBERTHUS BAIT KEYTIMU, S.H",ELFRIDA YOLLY MAINA DEWI WINOKAN
ARYANI RIZKI POERWASARI WARUT,NN
"SELESTINUS A. OLA, SH",Herni Dwi Yanti
"NENE KARIM KALAKE, SH",Arina Ulfah
SITI AMINAH,-
"KISLON OBISURU, S.Sos",AGNES NONA
"NENCY E. NAPITU, A.Keb",Jenner Sondang Manaritar Lumban Batu
"FRANSISKUS SIGIT A. MADO, SP","Dr. Mariana Harsono, S.Pd, M.Ed."
"YENI VERONIKA, SH","DR. DENO KAMELUS, SH., MH"
"KRISTIANUS BENEDIKTUS SUCIPTO ABURMAN, S.P",YULIANINGSIH H. D. TAGUNG
"YOHANES JINUS, SH",MARGARETA ENEK ROTOK
JIMUR SIENA KATRINA,LAURENS BAHANG DAMA (ALM)
"ZAFRAN HIDAYAT, S.Pd",-
SELFRIDUS YUDI PRANOTO DAMBUR,-
"OLIVA EA, S.Sos",-
YUNTINUS TEGU NGGADE,-
"FREDRIKUS FRITZ FIANDI, SH","MARCELINA ANY TRY GAR, S.Pd"
"ABDUL ASIS, M.Pd.I",HJ. ENDANG SRI RAHAYU
ANTONIUS BELANTARA,BERNADETA GUET
DRS. MARUS PETRUS,ADILA THERESIA NTELOK
EMILIA KASIH,-
"FRANSISIKA THERESIA DAMBU, S.Pi",-
ELAFITA AOETPAH,-
ROBERTUS MINSEN,ARNIYANTI HUNGA MEHA
STEFANUS GANDI,ANIZA RACHMAN
PONDERINTJE O.M. NARAKAHA,0
IR. YUKUNDA HUWA,DRS KAROBEID MARSIANUS M.PD
"PATA VNSENSIUS, SH, MM",DOLFINA LUJU
ALEXIUS MARIANUS ADU,HELMINA SAUN
DRS. FRANSISKUS ATAP,MAGDALENA LET
Dra.. KRISTOFORA B BANTANG,KOTAN Y STEFANUS
REWOS EDDY F. X. EDUARDUS,THERESIA SURYATINI
"YOSEPH FREDY WIJAYA, S.Sos.",-
DARMAYANTI,M. ARRYANTHO
"FRUMENTIUS BAMBUT, S.E.",IMELDA FLORIDA NIMA
"YOSEP SUDARSO, A.Md",KORNELIA SITI
BONIFASIUS JEBARUS,-
PASKALIS JURMAN ANGKUR,Maria Yasinta Lehot
"KABUR AGUSTINUS, SH",Paus Maria Matilda
"WILIBRODUS KENGKENG, SH",Margareta Samun
"NURKHOLIS, se",-
"ANGELA MERSI RENGGI, S.Si",-
YOHANES HALUT,-
"DANIEL DJEHAMU, S.PD",PAULA MBAUT
"YOSEF PANGKUR, SH",ERMILINDIS HASIMAN PANGKUR
PINGGU PIUS,ELISABETH JUS GERAK
"YOHANA BETRISKAL NDANG, S.Pd",-
YEANE AGNES GAMPU,BAKTI HINDARTO PUTRA
"MAXIMILIANUS ADIPATI PARI, SH",YASINTA SUSIANTY SUSILO
"RUDOLFUS PASKALIS DAGA TANGA, ST",LIA OKTAVIA
"PAULINA JENIA, A.MD",MARSELINUS ASMAT
"FRANSISKUS SARONG, SM",YUSTINA LEMA
"RIZET BENYAMIN RAFAEL, SH",SOFIA ADELINA VERA MOOY
KOLEKTA JELIUT,DRS. PIUS TENGKO
"YAKIM NANDI, S.SOS",KARMELIA THERESIA GAMBUS
"DRS. MARTINUS DARMONSI DOGON, M.SI",M. B. DEWI PANCAWATI
"MELTIANA SAIN, S.PD",-
DRS. HIRONIMUS SYAMLAN,EMILIA ANGGAL
"LUISA REDEMPTA YOSHELINE LANA, SH",-
"DRS.. STANISLAUS NGAWANG, MM",REGINA JEMITA
"SENSI VINSENSIUS SEBASTIANUS, SE",MARIA MUR OGOS
"KANISIUS BERKAMAS, SE, MBA",MARIA HELIANA NARTI
"BERNARDUS PAIS NASUR, S.M",MARIA KENAU
"VERDERIKA DINNA HERNINO PAIS, S.PD",FERIANTO BANI
DRS.. YOSEF MANGGAS,ELISABET NAMU
"IR. BEN ISI DORUS, MM","VENIDORU SAU, SH"
FEBRIYANI YERLIN KABUT,-
"BENEDIKTUS S.T. PAPUR, S.FIL",HARYATI ETA YUTSELISE FRANSISKA
"RUSDING, S.E.",MARIANA C. WULANDARI
"DRS. TAMUR PAULUS, M.SI",YUSTINA
ERLIYATI,ABIDIN M. INCE
"SAKAR ABDUL JANGKU, M.S.I.",SUKRIA
"EDELTRUDIS DAONG, S.Pd.",-
"YUSUF M. TAHIR, SH",Hj. HASNAH
"HASNAH ISMAIL, A.Md",H. YUSUF
IBRAHIM KARIM,MARIFA ILIM
RUSTAM RAIHANI KELILAUW,YENI M VIANI WAJONG
"YOHANES RUMAT, SE",Dra NUR NINGSIH
Drs.. TOBIAS WANUS,MAKTILDA MURHADYA
MATILDIS DIN,ANSELMUS ABIN
"FRANSISKO ANDRIANI DJAGA DJEMALU, S.Sos",BERNADETA ROSALIA DEMBO
LASARUS KASMUL,MARIA JUMARYANI MINDJO
"YUSTA ROLI RAMAT, S.Sos",-
"MELKHIOR JUDIWAN, SH. M.H",HELENA ENA
"ANTONIUS TAJI, S.Sos",YULIANA FERONIKA NUHAN
"SULISTYASTUTI SUTOMO, S.Pd, M.Hum",ROBERTUS STUTANUR
KAROLUS HAMBUR,FLORIDA D. DROSS
"INOSENSIUS FREDY MUI, ST",Maria M. Rosty Halim
"Drs. FREDIRIQUES PLATE YOSEP, M.Si",Dra. Elisabeth Tina Ngasu
MARIA MARTINA HADYANY DARUNG,K. Y. Toni Rumondor
ALOISIUS GAMBUT,Mety Meldiani Mengngi
"JEFRI SAN, SS, M.Si",Flora Nesti Alvidan
"THERESIA DELTA, A.Md","Agustinus Goeng, SH"
Ir. FRANSISKUS HERMANUS HAPAN,dr. Monika Tanoni
"AVENTINUS JESMAN, SH",Rosalia Surya Bahagia
JUNAIDIN,RAHIMAH ZAINAL
"Drs.. HERMANUS MAN, MM",ABIGAEL SAMPE TODING
YESTI KANDIDA ODOT,-
AGUSTINAH,WAHONO
ADRIANUS KORNASEN,SD
EMILIANUS CARLES LALUNG,MARIA THERESIA RATTINI
SERI ANISA,ISHAK
Drs. JOHANES MAT NGARE,MARTHINA HA U
Drs. AGUSTINUS HARAPAN,"S. JOVITA MAHU, SH"
NURAINI JETIA,SIRTA SIREGAR
ONGGE YOHANES,ROFINA DINA
SEBASTIANUS NUSI,ERIKE JOCHE MARTA HUNGAN
MARIA HEWOL,SILVESTER KADER
JAHUR DONATUS,"HASAN E NIRWANA, SH, M.Si"
"WALTERIUS JEMAAN, SH.,M.HUM","KORNELIA SILUS, SE"
NDUJUNG ELISABETH NURANI,Drs. JENUDIN STEFANUS
"KATAS PETRUS, S.Sos, M.MA",VERONIKA RENEK
"AHMAD YOHAN, M.Si",Nikmah Azizah
"RONSIANUS B. DAUR, SE.,BKP",Margaretha Ni Luh
YEYEN YUNIZAR AMBUWARU,KARIYANTO WAHYUDI
DRS. CHRISTIAN ROTOK,HENDRIKA WIA
AZIZATUL MILLAH,NASIWAN
"Dr. STEPHANUS PELOR, SH, MH",0
MARIE AVELIN KONTERIUS,OKTOBERTUS ARNOLDUS FESTALEN
"Dr. CHRISTOFEL BAGAISAR, S.Pd., SS., M.Pd.",HERLINA SIPAHUTAR
YOHANES JIMMY SILIMALAR,MARIA ROSARI
ANITA JEANNETTE PAATH,JOEL STEVE O TICOALU
"ARJULI, AR",PRASETIO HUTOMO SURYA
DRA. IIS YENI SURYANI,NURSUHANDI
Dr. ANDREAS HUGO PAREIRA,Chatarina V. Dwi Indarwati P
"VALENS DAKI-SOO, S.H.",dr. M.M. ALEXANDRA DJUANG
"M. JASHINTA E. HAMBOER., S.Ikom., M.Ikom",Andreas Widyatmanto
Drs. FRANS LEBU RAYA,LUSIA ADINDA DUA NURAK
"ANNA MARLINDA M.B., S.Sos",LUKAS Y. M. P. BOLENG
"MAKARIUS PASKALIS BAUT, S.H.",MARIA SERVIANA DIAN
"PIUS LUSTRILANANG, S.IP., M.Si",IBU
BOPHIA D. CH. MAROMON,BENYAMIN MOSOES MANDALA
WILLFRIDUS YONS EBIT,-
YOHANNA FRANCISCA SARJUMIYATI,AYAH
"SIPRIANUS PAULUS, S.Fil",IBU
"YOHANES EDISON BURU, S.Pd",DIANA PUSPITASARI
MELCHIAS MARKUS MEKENG,MARIA LAURENTIA WIDYANA SOEHADI
HONING SANNY,BERNADETHA MARIA SERE N ABA
ADEODATA TRIDECIMA,DAIRI UJUNG
"H. ANWAR PUA GENO, S.H","ROFIKA ARSYAD, SE"
IRENE RATNA KARTIKA SAPTI,-
"SEBASTIANUS KM SALANG, S.H., M.M",VONNY M OCHOTAN
"AGUS ISMAIL, S.Si, M.Eng",Nur Aini
HERMIN SUSANA,AGUS WIBISONO
"H. FACHRUDIN MUHAMAD, SH, MH",YULIA INRAYATI
"HEKSANING RIBUT RAWIT, S.Pd",SYARIF
"N. M. DIPO NUSANTARA P. U, SH",AFIFAH AFIYANI
SYAHRULAN PUA SAWA,lisa wahyuni
FLORIDA YOSEFINA NDENA,-
